Abbrev,Rep,Locality,Map_Ref,Latitude,Altitude,Rainfall,Frosts,Sp,PMCno,DBH,Ht,Surv,Vig,Ins_res,Stem_Fm,Crown_Fm,Brnch_Fm,cls
1,1.0,0,1,1,100.0,850.0,-2.0,4,1520.0,18.4,10.0,40.0,4.0,3.0,3.5,4.0,3.5,0
1,1.0,0,1,1,100.0,850.0,-2.0,8,1487.0,13.2,9.6,90.0,4.5,4.0,3.5,3.5,3.0,4
1,1.0,0,1,1,100.0,850.0,-2.0,11,1362.0,10.3,6.5,50.0,2.3,2.5,3.0,3.5,3.0,3
1,1.0,0,1,1,100.0,850.0,-2.0,14,1596.0,14.8,9.5,70.0,3.7,3.0,3.3,4.0,3.5,0
1,1.0,0,1,1,100.0,850.0,-2.0,15,2088.0,14.5,10.8,90.0,4.0,2.7,3.3,3.0,3.0,0
1,1.0,0,1,1,100.0,850.0,-2.0,16,1522.0,17.0,12.3,70.0,5.0,4.0,5.0,4.0,4.5,4
1,1.0,0,1,1,100.0,850.0,-2.0,17,1521.0,13.9,9.8,80.0,4.0,2.0,3.0,3.0,3.0,0
1,1.0,0,1,1,100.0,850.0,-2.0,19,1523.0,19.0,11.3,100.0,5.0,4.5,3.5,4.0,2.0,4
1,1.0,0,1,1,100.0,850.0,-2.0,21,1524.0,7.6,6.6,80.0,2.5,2.5,3.3,3.5,3.5,2
1,1.0,0,1,1,100.0,850.0,-2.0,24,1525.0,14.8,9.1,50.0,4.0,4.0,3.3,3.0,3.0,0
1,2.0,0,1,1,100.0,850.0,-2.0,4,1520.0,8.2,6.7,70.0,1.5,3.0,3.0,3.0,3.0,3
1,2.0,0,1,1,100.0,850.0,-2.0,8,1487.0,15.1,7.2,10.0,4.0,4.0,3.3,3.0,2.0,0
1,2.0,0,1,1,100.0,850.0,-2.0,11,1362.0,9.0,6.0,60.0,2.5,3.0,3.0,4.0,4.0,3
1,2.0,0,1,1,100.0,850.0,-2.0,14,1596.0,13.1,6.1,80.0,3.5,4.0,4.0,3.5,3.5,4
1,2.0,0,1,1,100.0,850.0,-2.0,15,2088.0,10.8,8.9,100.0,3.0,2.0,3.0,3.0,3.0,0
1,2.0,0,1,1,100.0,850.0,-2.0,16,1522.0,13.1,9.8,90.0,5.0,4.5,5.0,4.0,4.0,4
1,2.0,0,1,1,100.0,850.0,-2.0,17,1521.0,10.2,8.3,100.0,3.0,1.8,3.0,3.0,3.0,2
1,2.0,0,1,1,100.0,850.0,-2.0,19,1523.0,18.7,10.9,100.0,4.0,4.0,3.3,4.0,3.0,4
1,2.0,0,1,1,100.0,850.0,-2.0,21,1524.0,8.2,6.5,70.0,2.0,2.0,3.3,4.0,3.5,3
1,2.0,0,1,1,100.0,850.0,-2.0,24,1525.0,17.5,9.2,60.0,4.0,3.0,3.0,3.0,2.0,0
1,3.0,0,1,1,100.0,850.0,-2.0,4,1520.0,10.8,5.9,50.0,2.7,4.0,3.3,3.5,3.0,2
1,3.0,0,1,1,100.0,850.0,-2.0,8,1487.0,21.5,8.8,20.0,4.0,3.5,3.0,3.0,1.0,2
1,3.0,0,1,1,100.0,850.0,-2.0,11,1362.0,15.2,6.5,30.0,3.0,4.0,3.0,3.0,3.0,2
1,3.0,0,1,1,100.0,850.0,-2.0,14,1596.0,9.7,8.7,70.0,2.7,4.0,3.5,3.5,3.5,0
1,3.0,0,1,1,100.0,850.0,-2.0,15,2088.0,17.2,8.2,60.0,5.0,2.7,3.5,3.0,2.0,0
1,3.0,0,1,1,100.0,850.0,-2.0,16,1522.0,16.1,10.0,50.0,4.3,4.5,3.3,3.5,3.0,0
