Dataset,Original Rows,Columns,Type,Silhouettescore,DaviesBouldinscore,Calinskiharabazscore,Cohesionscore,Separationscore,RMSSTDscore,RSscore,XBscore,Adjustedrandomscore,Adjusted_mutual_info_score,Fowlkes_mallows_score,Normalizedmutualinfoscore,imbalanced_ratio_before_sampling,total_hypersphere,hypersphere_minority,hypersphere_majority,samplesperhypersphere,samplesperhypersphere_minority,samplesperhypersphere_majority,Average distance between class,overlapping,ComplexityMetric,WeightedCM,DualWeightedCM,TLCM,None,SMOTE,NearMiss,SMOTEENN,Randomoversampling,ADASYN,BorderlineSMOTE,SVMSMOTE,RandomUnderSampler,ClusterCentroids,NearMissversion1,NearMissversion2,NearMissversion3,TomekLinks,EditedNearestNeighbours,RepeatedEditedNearestNeighbours,AllKNN,CondensedNearestNeighbour,NeighbourhoodCleaningRule,InstanceHardnessThreshold,SMOTETomek,KNN,DT,GNB,SVM,RF,XGB,ADA,CAT,F1,G-mean,Accuracy,Precision,Recall,AUC-ROC,AUC-PR,BalancedAccuracy,CWA
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6306945592834563,0.679742819598987,0.7057971014492753,0.7150418733183287,0.5564937949289749,0.7524481230073254,0.7525431877793206,0.060004298302170654,0.002687504761604432
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7978306488289287,0.8177287281247084,0.8202898550724639,0.7476034030381857,0.5993189077141104,0.8180543950357326,0.8428472342443861,0.08063449552811254,0.004432234841331395
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8257418909592822,0.843603031218577,0.8521739130434782,0.7465377073732409,0.7415711640172663,0.9075948943357828,0.8974847154282765,0.07609482715865694,0.0040649094323526895
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6486359455262892,0.6953355613637734,0.7246376811594203,0.6845852211798052,0.6638019530652314,0.7962674056113667,0.779901654211926,0.056449106449106445,0.002595799559273877
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8621158519727853,0.8757846631356069,0.8782608695652175,0.813819257527372,0.7391519665767459,0.935129986651797,0.9215874394556948,0.08017490783448229,0.004385954655666958
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8425513182622187,0.8577415604880709,0.8594202898550725,0.766945195393057,0.7410426699727224,0.9367488903353814,0.9231096153447788,0.08221494817239498,0.004322033019246796
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8319509843758714,0.847548991894231,0.8478260869565216,0.7580169468061442,0.7297975689013186,0.9211766299694139,0.902321531830983,0.08560812709748881,0.004568820920634286
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8641895000342107,0.8773765361643536,0.8782608695652173,0.7663583002880036,0.7437687637573417,0.9410636858615474,0.9231468960636201,0.08183884673246376,0.0044178186887010645
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7215923660978442,0.7266332091856049,0.727154820261438,0.7492547070682017,0.6273141638545182,0.8042983007556185,0.8262959763679824,0.08400686412967417,0.005062903942824567
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8171341719162388,0.8181732950168085,0.8198120915032678,0.7783723762447167,0.6014326334208224,0.8199741633858267,0.8686658478316419,0.08813758794864944,0.005792132887178836
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8402159882485164,0.8455794275681838,0.8472273284313725,0.7950814249650104,0.7227285930761512,0.9127217290282562,0.9179754447775615,0.08413330025319032,0.005366839457584306
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.716016548463357,0.7299146137231638,0.7324040032679738,0.7438756568575972,0.6544872849845903,0.8107509663098753,0.827509634708654,0.0771432115729608,0.004816629555676562
C:/Ronald/uOttawa/CSI 6900/Metallic-main/Dataset2\Australian.csv,690,14,0,0.2922380722957008,1.4036249387237876,318.9702110611174,9822782.519691166,4554033.449874053,31.934419601482524,0.3167623108979516,0.5239949166730065,0.025605108367305295,0.015373738382860849,0.5219350725041544,0.016420781965153924,0.8015665796344648,226,108,118,3.0530973451327434,2.8425925925925926,3.2457627118644066,16.623276853055575,0.35121605002846756,0.3973941368078176,0.3745928338762215,0.36482084690553745,0.16612377850162866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8799897350097495,0.877610604962007,0.8785590277777778,0.8387854181909015,0.7662266208824158,0.9443327335547901,0.9410970457031932,0.0952418667379162,0.006107363186226645
