col_1,col_2,cls
1.0,4.4,0
1.0,3.9,0
1.0,4.0,1
1.0,4.0,0
1.0,3.5,0
1.0,4.1,0
1.0,2.3,1
1.0,4.7,0
1.0,1.7,1
1.0,4.9,0
1.0,1.7,1
1.0,4.6,0
1.0,3.4,0
2.0,4.3,0
2.0,1.7,1
2.0,3.9,0
2.0,3.7,1
2.0,3.1,1
2.0,4.0,0
2.0,1.8,1
2.0,4.1,0
2.0,1.8,1
2.0,3.2,0
2.0,1.9,1
2.0,4.6,0
2.0,2.0,1
3.0,4.5,0
3.0,3.9,0
3.0,4.3,0
3.0,2.3,1
3.0,3.8,0
3.0,1.9,1
3.0,4.6,0
3.0,1.8,1
3.0,4.7,0
3.0,1.8,1
3.0,4.6,0
3.0,1.9,1
3.0,3.5,0
4.0,4.0,0
4.0,3.7,0
4.0,3.7,1
4.0,4.3,1
4.0,3.6,0
4.0,3.8,0
4.0,3.8,0
4.0,3.8,0
4.0,2.5,1
4.0,4.5,0
4.0,4.1,1
4.0,3.7,0
4.0,3.8,1
4.0,3.4,0
5.0,4.0,1
5.0,2.3,1
5.0,4.4,0
5.0,4.1,0
5.0,4.3,0
5.0,3.3,0
5.0,2.0,1
5.0,4.3,0
5.0,2.9,1
5.0,4.6,0
5.0,1.9,1
5.0,3.6,1
5.0,3.7,0
5.0,3.7,0
6.0,1.8,1
6.0,4.6,0
6.0,3.5,0
6.0,4.0,1
6.0,3.7,0
6.0,1.7,1
6.0,4.6,0
6.0,1.7,1
6.0,4.0,0
6.0,1.8,1
6.0,4.4,0
6.0,1.9,1
6.0,4.6,0
6.0,2.9,0
7.0,3.5,0
7.0,2.0,1
7.0,4.3,0
7.0,1.8,1
7.0,4.1,0
7.0,1.8,1
7.0,4.7,0
7.0,4.2,0
7.0,3.9,0
7.0,4.3,0
7.0,1.8,1
7.0,4.5,0
7.0,2.0,1
8.0,4.2,0
8.0,4.4,0
8.0,4.1,1
8.0,4.1,0
8.0,4.0,0
8.0,4.1,0
8.0,2.7,1
8.0,4.6,0
8.0,1.9,1
8.0,4.5,0
8.0,2.0,1
8.0,4.8,0
8.0,4.1,0
16.0,4.1,0
16.0,4.2,0
16.0,4.5,0
16.0,1.9,1
16.0,4.7,0
16.0,2.0,1
16.0,4.7,0
16.0,2.5,1
16.0,4.3,0
16.0,4.4,0
16.0,4.4,0
16.0,4.3,1
16.0,4.6,0
16.0,2.1,1
17.0,4.8,0
17.0,4.1,1
17.0,4.0,1
17.0,4.0,0
17.0,4.4,0
17.0,4.1,0
17.0,4.3,0
17.0,4.0,1
17.0,3.9,0
17.0,3.2,1
17.0,4.5,0
17.0,2.2,1
17.0,4.7,0
17.0,4.6,0
18.0,2.2,1
18.0,4.8,0
18.0,4.3,0
18.0,3.8,0
18.0,4.0,0
18.0,4.1,0
18.0,1.8,1
18.0,4.4,0
18.0,4.0,0
18.0,2.2,1
18.0,5.1,0
18.0,1.9,1
18.0,5.0,0
18.0,4.4,0
19.0,4.5,0
19.0,3.8,0
19.0,4.3,0
19.0,4.4,0
19.0,2.2,1
19.0,4.8,0
19.0,1.9,1
19.0,4.7,0
19.0,1.8,1
19.0,4.8,0
19.0,2.0,1
19.0,4.4,0
19.0,2.5,1
19.0,4.3,0
20.0,4.4,0
20.0,1.9,1
20.0,4.7,0
20.0,4.3,0
20.0,2.2,1
20.0,4.7,0
20.0,2.3,1
20.0,4.6,0
20.0,3.3,1
20.0,4.2,0
20.0,2.9,1
20.0,4.6,0
20.0,3.3,1
20.0,4.2,0
20.0,2.6,1
20.0,4.6,1
21.0,3.7,0
21.0,1.8,1
21.0,4.7,0
21.0,4.5,0
21.0,4.5,1
21.0,4.8,0
21.0,2.0,1
21.0,4.8,0
21.0,1.9,1
21.0,4.7,0
21.0,2.0,1
21.0,5.1,0
21.0,4.3,0
21.0,4.8,0
22.0,3.0,0
22.0,2.1,1
22.0,4.6,0
22.0,4.0,0
22.0,2.2,1
22.0,5.1,0
22.0,2.9,1
22.0,4.3,0
22.0,2.1,1
22.0,4.7,0
22.0,4.5,1
22.0,1.7,1
22.0,4.2,0
22.0,4.3,0
23.0,1.7,1
23.0,4.4,0
23.0,4.2,0
23.0,2.2,1
23.0,4.7,0
23.0,4.0,1
23.0,1.8,1
23.0,4.7,0
23.0,1.8,1
23.0,4.5,0
23.0,2.1,1
23.0,4.2,0
23.0,2.1,1
23.0,5.2,0
23.0,2.0,1
