customer,grain_screened,ink_color,proof_on_ctd_ink,blade_mfg,cylinder_division,paper_type,ink_type,direct_steam,solvent_type,type_on_cylinder,press_type,press,cylinder_size,paper_mill_location,plating_tank,proof_cut,viscosity,caliper,ink_temperature,humifity,roughness,blade_pressure,varnish_pct,press_speed,ink_pct,solvent_pct,ESA_Voltage,ESA_Amperage,wax,hardener,roller_durometer,current_density,anode_space_ratio,chrome_content,cls
63,2,0,2,1,0,2,2,1,1,2,2,4,3,3,1,55.0,46.0,3,17.0,78.0,0.8,20.0,13.1,1700.0,50.5,36.4,0.0,0.0,2.5,1.0,34.0,4,105.0,0,1
63,2,0,2,1,0,2,2,1,1,2,2,4,3,3,2,55.0,46.0,10,15.0,80.0,0.8,20.0,6.6,1900.0,54.9,38.5,0.0,0.0,2.5,0.7,34.0,4,105.0,0,0
51,2,0,2,1,0,2,0,1,1,2,3,2,1,3,2,62.0,40.0,16,16.0,80.0,0.7,30.0,6.5,1850.0,53.8,39.8,0.0,0.0,2.8,0.9,40.0,4,103.9,0,0
49,2,0,2,1,0,2,2,1,1,2,3,3,1,3,0,52.0,40.0,10,16.0,75.0,0.3,30.0,5.6,1467.0,55.6,38.8,0.0,0.0,2.5,1.3,40.0,4,108.1,0,0
46,1,0,2,1,0,2,0,1,1,2,3,3,3,0,0,50.0,46.0,10,17.0,80.0,0.8,30.0,0.0,2100.0,57.5,42.5,5.0,0.0,2.3,0.6,35.0,4,106.7,0,0
49,2,0,2,1,0,2,2,1,1,2,3,3,1,3,0,50.0,40.0,8,16.8,76.0,0.4,28.0,8.6,1467.0,53.8,37.6,5.0,0.0,2.5,0.8,40.0,4,103.9,0,0
57,1,0,2,1,0,0,0,1,1,2,2,6,3,1,1,50.0,46.0,10,16.5,75.0,0.8,30.0,0.0,2600.0,62.5,37.5,6.0,0.0,2.5,0.6,30.0,4,106.7,0,0
57,1,0,2,1,0,0,0,1,1,2,2,6,3,1,1,50.0,46.0,3,16.5,75.0,0.8,28.0,0.0,2600.0,62.5,37.5,6.0,0.0,2.5,1.1,30.0,4,106.7,0,0
51,2,0,2,1,0,2,2,1,3,2,0,0,1,3,0,50.0,45.0,14,12.0,70.0,0.8,60.0,0.0,1650.0,60.2,39.8,1.5,0.0,3.0,1.0,40.0,4,103.2,0,1
16,2,0,2,1,0,2,2,1,1,2,3,2,1,3,1,65.0,43.0,12,16.0,75.0,1.0,32.0,22.7,1750.0,45.5,31.8,0.0,0.0,3.0,1.0,38.0,4,106.7,0,0
