iter	Passed	Remaining
0	2	2720
1	3	1948
2	5	1873
3	6	1703
4	9	1875
5	11	1834
6	13	1949
7	15	1924
8	18	1997
9	19	1949
10	21	1911
11	23	1975
12	26	2034
13	29	2084
14	32	2127
15	33	2056
16	35	2028
17	37	2054
18	40	2085
19	42	2061
20	44	2092
21	48	2134
22	49	2109
23	50	2057
24	52	2030
25	54	2054
26	57	2082
27	60	2099
28	61	2061
29	63	2042
30	64	2029
31	66	2003
32	68	2020
33	72	2045
34	73	2036
35	75	2022
36	76	2003
37	79	2012
38	80	1987
39	83	1994
40	85	2009
41	88	2022
42	91	2035
43	94	2053
44	97	2060
45	99	2066
46	101	2055
47	103	2061
48	105	2047
49	108	2052
50	109	2040
51	112	2047
52	114	2053
53	117	2062
54	120	2069
55	123	2075
56	124	2064
57	127	2067
58	129	2070
59	132	2074
60	135	2082
61	137	2085
62	140	2089
63	143	2093
64	144	2082
65	147	2084
66	150	2089
67	152	2092
68	155	2095
69	156	2083
70	158	2074
71	161	2080
72	162	2062
73	164	2062
74	167	2065
75	170	2068
76	172	2070
77	175	2074
78	178	2075
79	180	2078
80	183	2081
81	184	2070
82	187	2072
83	190	2075
84	193	2078
85	195	2081
86	198	2084
87	201	2085
88	204	2090
89	205	2075
90	207	2074
91	210	2075
92	212	2075
93	215	2075
94	217	2076
95	219	2062
96	221	2062
97	223	2053
98	224	2044
99	226	2037
100	228	2036
101	231	2037
102	233	2037
103	236	2040
104	239	2039
105	241	2033
106	243	2035
107	246	2036
108	249	2036
109	251	2037
110	254	2037
111	256	2030
112	258	2030
113	261	2031
114	263	2031
115	265	2023
116	268	2024
117	269	2017
118	272	2017
119	274	2014
120	276	2011
121	278	2001
122	280	1999
123	282	1997
124	284	1994
125	287	1992
126	289	1988
127	291	1986
128	293	1983
129	294	1971
130	296	1968
131	298	1965
132	301	1963
133	303	1960
134	304	1951
135	306	1948
136	308	1946
137	311	1943
138	313	1941
139	315	1939
140	318	1937
141	320	1936
142	322	1934
143	324	1931
144	327	1928
145	329	1926
146	331	1923
147	333	1920
148	334	1912
149	336	1909
150	337	1899
151	340	1898
152	342	1895
153	344	1894
154	347	1891
155	349	1889
156	351	1886
157	353	1883
158	354	1876
159	356	1869
160	358	1867
161	360	1865
162	362	1863
163	364	1855
164	366	1853
165	367	1846
166	368	1839
167	370	1837
168	373	1834
169	375	1832
170	377	1829
171	379	1826
172	381	1824
173	383	1821
174	385	1819
175	387	1812
176	389	1810
177	391	1808
178	393	1806
179	395	1799
180	397	1798
181	398	1791
182	400	1789
183	403	1788
184	403	1778
185	405	1776
186	408	1774
187	410	1772
188	412	1770
189	414	1768
190	416	1766
191	419	1763
192	421	1761
193	423	1759
194	425	1758
195	428	1756
196	430	1753
197	432	1751
198	434	1750
199	437	1749
200	439	1746
201	441	1744
202	443	1742
203	445	1740
204	448	1737
205	449	1731
206	451	1731
207	454	1728
208	456	1726
209	457	1721
210	459	1718
211	461	1716
212	463	1714
213	465	1708
214	466	1702
215	468	1700
216	470	1698
217	471	1693
218	473	1690
219	476	1688
220	478	1686
221	480	1683
222	481	1678
223	484	1677
224	486	1675
225	488	1673
226	490	1671
227	493	1669
228	495	1667
229	497	1665
230	499	1663
231	501	1661
232	503	1656
233	505	1654
234	506	1649
235	508	1647
236	511	1646
237	513	1644
238	515	1642
239	518	1640
240	520	1639
241	522	1637
242	524	1635
243	527	1633
244	528	1629
245	530	1627
246	533	1625
247	535	1623
248	537	1621
249	538	1616
250	541	1614
251	543	1612
252	545	1611
253	548	1609
254	549	1605
255	550	1600
256	552	1597
257	553	1592
258	556	1590
259	558	1589
260	560	1587
261	563	1587
262	565	1585
263	568	1584
264	569	1580
265	572	1578
266	574	1576
267	575	1572
268	576	1567
269	578	1563
270	580	1561
271	583	1560
272	585	1559
273	587	1555
274	589	1553
275	591	1552
276	594	1551
277	596	1549
278	599	1548
279	600	1543
280	602	1541
281	603	1537
282	606	1535
283	608	1533
284	610	1531
285	612	1529
286	614	1527
287	617	1525
288	619	1523
289	621	1521
290	623	1519
291	624	1514
292	627	1513
293	628	1509
294	631	1508
295	632	1504
296	635	1503
297	637	1501
298	639	1499
299	641	1497
300	643	1493
301	645	1491
302	647	1489
303	648	1485
304	650	1482
305	652	1480
306	655	1478
307	657	1477
308	659	1475
309	661	1473
310	664	1471
311	666	1469
312	668	1467
313	670	1465
314	673	1463
315	675	1462
316	677	1460
317	680	1458
318	682	1456
319	684	1454
320	686	1452
321	689	1450
322	691	1449
323	693	1447
324	696	1445
325	698	1443
326	700	1441
327	701	1437
328	704	1436
329	706	1434
330	708	1432
331	710	1429
332	711	1425
333	713	1423
334	715	1421
335	718	1418
336	720	1417
337	722	1415
338	723	1411
339	725	1408
340	727	1406
341	730	1404
342	731	1401
343	733	1398
344	735	1396
345	737	1394
346	740	1392
347	742	1390
348	744	1388
349	746	1386
350	748	1384
351	751	1382
352	752	1378
353	754	1376
354	756	1374
355	758	1371
356	760	1369
357	762	1367
358	764	1365
359	765	1361
360	766	1357
361	768	1355
362	771	1353
363	773	1351
364	775	1349
365	777	1347
366	780	1345
367	782	1343
