A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,cls
2,30.8,0.0,2,1,13,8,1.2,1,1,1.0,0,0,202.0,0.0,1
1,58.7,4.5,2,1,11,4,3.0,1,1,6.0,0,0,43.0,560.0,1
1,24.5,0.5,2,1,11,4,1.5,1,0,0.0,0,0,280.0,824.0,1
2,27.8,1.5,2,1,13,8,3.8,1,1,5.0,1,0,100.0,3.0,1
2,20.2,5.6,2,1,13,8,1.7,1,0,0.0,0,2,120.0,0.0,1
2,32.1,4.0,2,1,10,8,2.5,1,0,0.0,1,0,360.0,0.0,1
2,33.2,1.0,2,1,12,4,6.5,1,0,0.0,1,0,164.0,31285.0,1
1,22.9,11.6,2,1,3,8,0.0,1,0,0.0,0,0,80.0,1349.0,1
2,54.4,0.5,3,3,9,4,4.0,1,0,0.0,0,0,180.0,314.0,1
2,42.5,4.9,3,3,13,8,3.2,1,0,0.0,1,0,52.0,1442.0,1
2,22.1,0.8,2,1,2,4,2.2,0,0,0.0,1,0,128.0,0.0,1
2,29.9,1.8,2,1,2,4,4.3,1,0,0.0,0,0,260.0,200.0,1
1,38.2,6.0,2,1,9,8,1.0,1,0,0.0,1,0,0.0,0.0,1
2,48.1,6.0,2,1,9,8,0.0,0,0,0.0,0,0,0.0,2690.0,1
1,45.8,10.5,2,1,11,8,5.0,1,1,7.0,1,0,0.0,0.0,1
2,36.7,4.4,3,3,9,8,0.2,1,1,10.0,1,0,320.0,0.0,1
2,28.2,0.9,2,1,10,8,1.0,1,1,3.0,1,0,396.0,0.0,1
1,23.2,5.9,2,1,11,8,3.2,1,1,10.0,0,0,120.0,245.0,1
2,21.8,0.2,2,1,4,4,0.7,1,0,0.0,1,0,0.0,0.0,1
1,19.2,8.6,2,1,3,4,0.8,1,1,7.0,0,0,96.0,0.0,1
2,25.0,11.2,2,1,2,8,2.5,1,1,17.0,0,0,200.0,1208.0,1
2,23.2,1.0,2,1,2,8,0.8,1,0,0.0,0,2,300.0,0.0,1
1,47.8,8.0,2,1,2,8,7.9,1,1,6.0,1,0,0.0,1260.0,1
1,27.4,14.5,2,1,14,4,3.1,1,1,1.0,0,0,120.0,11.0,1
1,41.2,6.5,2,1,11,8,0.5,1,1,3.0,1,0,145.0,0.0,1
1,15.8,0.6,2,1,2,4,1.5,1,1,2.0,0,0,100.0,0.0,1
1,47.0,13.0,2,1,7,1,5.2,1,1,9.0,1,0,0.0,0.0,1
2,56.6,18.5,2,1,4,1,15.0,1,1,17.0,1,0,0.0,0.0,1
2,57.4,8.5,2,1,5,4,7.0,1,1,3.0,0,0,0.0,0.0,1
2,42.1,1.0,2,1,13,8,5.0,1,1,6.0,1,0,500.0,10000.0,1
2,29.2,14.8,2,1,1,8,5.0,1,1,5.0,1,0,168.0,0.0,1
2,42.0,9.8,2,1,14,4,8.0,1,1,8.0,0,0,0.0,0.0,1
2,49.5,7.6,2,1,7,1,7.6,1,1,15.0,1,0,0.0,5000.0,1
1,36.8,5.1,2,1,5,8,5.0,1,0,0.0,1,0,0.0,4000.0,1
1,22.6,10.8,2,1,11,8,0.4,1,1,5.0,1,0,0.0,560.0,1
2,27.8,1.5,2,1,13,8,2.0,1,1,11.0,1,0,434.0,35.0,1
2,27.2,1.6,2,1,3,4,1.8,1,1,12.0,1,0,583.0,713.0,1
1,23.0,11.8,2,1,14,4,0.5,1,1,2.0,1,0,300.0,551.0,1
2,27.8,0.6,3,3,3,8,0.2,1,1,2.0,0,0,260.0,500.0,1
2,54.6,9.4,2,1,6,3,14.4,1,1,11.0,1,0,30.0,300.0,1
2,34.2,9.2,2,1,2,8,4.5,1,1,12.0,1,0,0.0,221.0,1
2,28.9,15.0,2,1,2,4,5.3,1,1,11.0,0,0,0.0,2283.0,1
2,29.7,1.4,2,1,13,4,0.8,1,1,1.0,0,0,240.0,100.0,1
2,39.6,13.9,2,1,13,8,8.6,1,1,6.0,1,0,70.0,0.0,1
2,56.4,28.0,3,3,2,8,28.5,1,1,40.0,0,0,0.0,15.0,1
2,54.3,6.8,2,1,2,4,2.6,1,1,11.0,1,0,0.0,284.0,1
1,41.0,2.0,3,3,11,4,0.1,1,1,23.0,1,0,455.0,1236.0,1
2,31.9,4.5,2,1,3,4,6.0,1,1,3.0,0,0,311.0,300.0,1
2,41.5,1.5,2,1,7,1,3.5,0,0,0.0,0,0,216.0,0.0,1
2,23.9,0.7,2,1,2,8,0.2,0,0,0.0,0,0,100.0,0.0,1
1,25.8,0.5,2,1,2,4,0.9,1,0,0.0,1,0,491.0,0.0,1
2,26.0,1.0,2,1,11,8,1.8,1,0,0.0,1,0,280.0,0.0,1
2,37.4,2.0,2,1,13,8,0.0,1,0,0.0,1,0,400.0,5800.0,1
2,34.9,2.5,2,1,13,8,0.0,1,0,0.0,1,0,239.0,200.0,1
2,34.2,3.0,2,1,3,4,7.4,1,0,0.0,1,0,0.0,0.0,1
2,23.3,11.6,3,3,13,8,0.8,1,0,0.0,1,0,160.0,300.0,1
2,23.2,0.0,2,1,3,8,0.1,1,0,0.0,0,0,0.0,0.0,1
2,44.3,0.5,2,1,7,4,5.0,1,0,0.0,1,0,320.0,0.0,1
2,35.2,4.5,2,1,14,4,5.8,0,0,0.0,1,2,711.0,0.0,1
2,43.2,3.0,2,1,11,4,6.0,1,1,11.0,0,0,80.0,0.0,1
2,56.8,12.2,2,1,10,8,1.2,1,1,4.0,1,0,200.0,0.0,1
2,31.7,16.2,2,1,4,8,3.0,1,1,9.0,0,0,250.0,730.0,1
1,23.4,0.8,3,3,11,8,1.5,1,1,2.0,1,0,80.0,400.0,1
1,20.4,0.8,2,1,11,8,1.6,1,1,1.0,0,0,0.0,0.0,1
2,26.7,4.2,2,1,3,8,4.3,1,1,1.0,1,0,120.0,0.0,1
2,34.2,1.5,2,1,3,8,1.5,1,1,1.0,1,0,520.0,50000.0,1
1,36.0,1.0,2,1,2,8,2.0,1,1,11.0,0,0,0.0,456.0,1
2,25.5,0.4,2,1,10,8,0.2,1,1,3.0,0,0,260.0,15108.0,1
2,19.4,6.5,2,1,13,4,1.5,1,1,7.0,0,0,80.0,2954.0,1
2,35.2,25.1,2,1,14,4,1.6,1,1,1.0,1,0,515.0,500.0,1
2,32.3,7.5,2,1,5,1,1.6,1,0,0.0,1,2,420.0,0.0,0
2,34.8,4.0,2,1,4,1,12.5,1,0,0.0,1,0,184.0,0.0,0
1,38.6,5.0,2,1,3,8,13.5,1,0,0.0,1,0,980.0,0.0,0
2,44.2,0.5,2,1,10,8,10.8,1,0,0.0,0,2,400.0,0.0,0
2,44.8,7.0,3,3,2,8,1.6,0,0,0.0,0,0,160.0,2.0,0
2,20.7,5.3,2,1,11,8,0.4,1,1,1.0,0,0,160.0,0.0,0
2,34.1,6.5,2,1,1,8,0.1,1,0,0.0,1,0,443.0,0.0,0
1,19.2,0.6,3,3,1,8,0.6,1,0,0.0,1,0,160.0,0.0,0
2,21.7,1.2,3,3,9,8,2.5,1,1,1.0,0,0,180.0,20.0,0
2,21.5,9.8,2,1,2,8,0.2,1,0,0.0,0,0,140.0,0.0,0
2,49.6,19.0,2,1,6,3,0.0,1,1,1.0,0,0,94.0,0.0,0
1,27.7,1.5,2,1,10,8,2.0,1,0,0.0,0,2,368.0,0.0,0
2,39.8,0.5,2,1,10,8,0.2,1,0,0.0,0,2,288.0,0.0,0
1,31.6,3.5,2,1,4,8,3.0,1,0,0.0,1,0,300.0,0.0,0
2,27.2,0.6,2,1,1,8,0.5,1,0,0.0,1,0,200.0,0.0,0
2,37.2,4.0,2,1,2,1,5.0,1,0,0.0,1,2,280.0,0.0,0
2,31.6,0.4,2,1,4,8,0.9,1,0,0.0,1,2,928.0,0.0,0
2,25.7,2.2,3,3,1,8,4.0,1,0,0.0,0,0,188.0,0.0,0
2,34.0,4.5,2,1,1,8,1.0,1,0,0.0,1,0,240.0,0.0,0
1,49.0,1.5,2,1,8,5,0.0,1,0,0.0,1,0,100.0,27.0,0
2,62.5,12.8,3,3,2,4,5.0,1,0,0.0,0,0,112.0,0.0,0
2,31.4,15.5,2,1,2,8,0.5,1,0,0.0,0,0,120.0,0.0,0
2,31.6,5.0,3,3,1,8,8.5,1,0,0.0,0,0,0.0,0.0,0
2,52.3,1.4,3,3,2,4,9.5,1,0,0.0,1,0,200.0,100.0,0
2,28.8,1.5,3,3,2,8,1.5,1,0,0.0,1,0,0.0,225.0,0
1,28.6,3.5,2,1,7,1,0.5,1,0,0.0,1,0,171.0,0.0,0
2,23.0,0.6,3,3,1,8,0.1,1,0,0.0,0,0,180.0,1.0,0
2,31.6,0.5,2,1,2,1,0.8,1,0,0.0,1,2,320.0,0.0,0
1,22.5,11.0,3,3,11,8,3.0,1,0,0.0,1,0,268.0,0.0,0
1,28.5,1.0,2,1,11,8,1.0,1,1,2.0,1,0,167.0,500.0,0
2,37.5,1.8,3,3,2,1,0.2,1,0,0.0,1,0,164.0,400.0,0
2,35.2,16.5,3,3,2,8,4.0,1,0,0.0,0,0,80.0,0.0,0
2,18.7,5.0,2,1,11,8,0.4,1,1,2.0,0,0,0.0,38.0,0
2,25.0,12.0,2,1,9,8,2.2,1,1,2.0,1,0,120.0,5.0,0
2,27.8,4.0,3,3,7,4,5.8,1,1,2.0,1,0,75.0,0.0,0
2,54.8,15.5,2,1,5,9,0.0,1,1,20.0,0,0,152.0,130.0,0
2,28.8,1.2,2,1,9,8,0.5,1,0,0.0,0,2,280.0,0.0,0
1,25.0,11.0,3,3,1,8,4.5,1,0,0.0,0,0,120.0,0.0,0
2,40.9,2.2,3,3,14,4,10.0,1,0,0.0,1,0,176.0,0.0,0
1,19.8,0.8,2,1,2,8,0.8,1,1,5.0,1,0,140.0,5.0,0
2,29.2,3.5,2,1,13,8,3.5,1,1,3.0,1,0,329.0,0.0,0
1,24.5,1.0,3,3,6,3,0.5,1,1,3.0,0,0,180.0,147.0,0
2,24.6,12.5,2,1,13,8,0.9,1,0,0.0,1,0,260.0,0.0,0
1,33.8,0.8,2,1,9,1,1.0,1,1,3.0,1,0,212.0,0.0,0
2,20.7,1.2,3,3,2,4,1.4,1,1,3.0,1,0,140.0,210.0,0
1,25.4,1.1,2,1,11,8,1.3,1,1,2.0,0,0,200.0,0.0,0
2,37.8,7.0,2,1,11,4,11.5,1,1,7.0,1,0,300.0,5.0,0
2,52.5,6.5,2,1,9,8,6.3,1,1,15.0,0,0,0.0,11202.0,1
2,57.8,7.0,2,1,10,8,14.0,1,1,6.0,1,0,360.0,1332.0,1
1,20.8,10.3,2,1,3,4,0.3,1,1,1.0,1,0,80.0,50.0,1
2,39.9,6.2,2,1,11,8,0.0,1,1,1.0,0,0,200.0,300.0,1
2,25.7,12.5,2,1,3,8,1.2,1,1,67.0,1,0,140.0,258.0,1
1,24.8,12.5,2,1,1,8,1.5,1,1,12.0,1,0,120.0,567.0,1
