site,daf,fruit,weight,storewt,pene,brix,a*,egdd,fgdd,groundspot_a*,glucose,fructose,sucrose,total,glucose+fructose,starch,sweetness,flavour,dry/moist,fibre,heat_input_emerg,heat_input_flower,cls
2,0,0,1815.0,1717.0,8.3,10.6,22.5,651.0,262.0,7.7,18.9,18.7,20.0,57.6,37.6,92.8,667.0,748.6,610.1,376.9,847.0,458.0,0
2,0,10,1667.0,1590.0,8.4,11.3,19.9,651.0,262.0,7.1,20.2,18.4,22.4,61.0,38.6,85.1,823.6,817.8,670.9,308.4,721.0,458.0,0
2,0,21,1508.0,1437.0,7.0,11.2,20.2,651.0,262.0,10.6,20.7,19.6,18.6,58.9,40.3,70.3,740.5,837.8,693.7,331.5,847.0,458.0,1
2,0,1,1508.0,1422.0,6.6,10.6,21.0,651.0,262.0,3.0,24.3,20.6,13.6,58.5,44.9,63.8,697.5,780.8,784.4,408.4,847.0,458.0,1
2,1,10,1611.0,1504.0,8.0,10.1,23.9,772.0,372.0,0.5,21.4,16.4,20.0,57.9,37.8,27.9,740.5,746.5,744.5,590.5,968.0,568.0,1
2,1,19,1709.0,1596.0,8.9,11.3,20.7,772.0,372.0,8.2,17.0,15.2,26.9,59.0,32.1,71.8,768.3,899.4,637.7,316.0,968.0,568.0,0
2,1,2,1758.0,1663.0,8.3,11.9,24.5,772.0,372.0,9.6,16.8,15.6,30.5,62.9,32.4,90.2,871.2,848.9,605.8,296.1,968.0,568.0,0
2,1,8,2135.0,2002.0,7.7,11.1,21.3,772.0,372.0,5.6,22.0,17.8,22.6,62.4,39.8,50.9,807.5,803.0,924.7,686.1,968.0,568.0,1
2,2,15,1614.0,1539.0,9.9,13.4,25.8,891.0,461.0,15.2,14.8,12.3,37.4,64.4,27.1,72.8,832.3,875.1,644.1,163.2,1087.0,531.0,0
2,2,16,1580.0,1507.0,8.1,11.3,23.4,891.0,461.0,6.5,18.2,14.9,26.9,60.0,33.1,70.0,837.6,813.1,743.1,306.1,1087.0,657.0,1
2,2,19,1374.0,1317.0,8.8,10.9,25.5,891.0,461.0,14.5,16.9,13.9,24.2,55.0,30.8,44.3,706.5,769.9,816.0,513.2,1087.0,657.0,1
2,2,3,2735.0,2604.0,11.2,12.8,25.8,891.0,461.0,19.4,18.4,14.9,33.4,66.7,33.3,72.0,939.5,965.7,646.9,169.1,1087.0,657.0,0
2,3,16,2300.0,2218.0,10.8,13.7,24.2,953.0,542.0,14.1,8.6,7.8,46.4,62.8,16.5,119.4,787.9,895.4,537.0,270.9,1023.0,738.0,0
2,3,20,1600.0,1615.0,11.0,11.9,29.0,953.0,542.0,16.9,17.4,13.2,33.2,63.8,30.6,54.1,909.5,893.0,945.6,557.7,1023.0,738.0,0
2,3,3,2100.0,2093.0,9.4,12.1,24.0,953.0,542.0,14.8,14.1,12.9,28.0,55.1,27.0,89.3,810.1,896.8,766.9,489.1,1023.0,738.0,0
2,3,4,1800.0,1820.0,10.9,12.7,27.5,953.0,542.0,16.4,14.9,12.0,37.6,64.5,26.8,86.8,876.4,880.9,687.8,325.8,1023.0,738.0,0
0,0,17,1488.0,1333.0,6.5,8.0,11.3,601.0,272.0,-3.3,12.2,12.5,4.8,29.4,24.6,35.1,550.3,627.6,949.1,423.3,797.0,468.0,1
0,0,19,1870.0,1690.0,5.1,9.1,11.7,601.0,272.0,-7.4,12.9,13.0,9.5,35.4,25.9,50.9,659.3,711.0,920.2,410.0,797.0,468.0,1
0,0,2,2253.0,1977.0,5.7,9.3,10.9,601.0,272.0,5.8,11.0,10.9,9.0,31.0,22.0,44.8,564.0,700.1,946.2,296.0,797.0,468.0,1
0,0,6,1718.0,1547.0,5.6,7.8,10.2,601.0,272.0,-1.8,11.9,11.8,8.3,32.1,23.8,37.4,621.5,657.2,877.7,353.1,797.0,468.0,1
