A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,cls
1,65.0,168.0,1,8,3,39.0,0,0,1.0,1,1,32.0,161.0,0
0,72.0,123.0,1,12,3,5.0,0,0,1.0,0,1,53.0,1.0,0
0,142.0,52.0,0,8,3,31.0,0,0,1.0,1,1,98.0,1.0,0
0,60.0,169.0,0,9,2,1.0,1,1,12.0,1,1,1.0,1.0,1
1,44.0,134.0,1,10,3,46.0,1,1,15.0,0,1,18.0,68.0,1
0,4.0,20.0,1,12,6,37.0,1,1,3.0,0,1,32.0,1.0,1
1,16.0,119.0,1,7,3,4.0,0,0,1.0,0,1,18.0,50.0,0
0,330.0,94.0,1,2,6,66.0,1,1,7.0,0,1,12.0,120.0,1
1,126.0,33.0,0,6,6,65.0,0,0,1.0,0,1,61.0,117.0,0
0,315.0,125.0,1,8,6,100.0,1,1,4.0,1,1,32.0,36.0,0
1,183.0,52.0,1,5,6,81.0,1,1,5.0,1,1,89.0,144.0,1
1,248.0,102.0,1,2,6,85.0,1,1,7.0,1,1,148.0,1.0,1
1,49.0,40.0,0,12,6,34.0,1,1,4.0,1,1,45.0,79.0,0
1,198.0,102.0,1,5,6,104.0,1,1,7.0,1,1,1.0,150.0,1
1,329.0,69.0,1,12,3,56.0,0,0,1.0,1,1,107.0,1.0,0
1,284.0,116.0,1,8,3,2.0,0,0,1.0,0,1,1.0,196.0,1
1,142.0,95.0,1,13,3,104.0,1,1,3.0,1,1,109.0,1.0,1
0,33.0,139.0,1,10,3,20.0,1,1,3.0,0,1,26.0,124.0,1
1,42.0,40.0,0,8,3,4.0,0,0,1.0,0,1,45.0,5.0,0
0,69.0,111.0,1,2,3,60.0,1,1,8.0,0,1,41.0,202.0,1
0,129.0,20.0,1,10,3,2.0,0,0,1.0,0,1,92.0,151.0,0
0,35.0,20.0,0,10,3,16.0,1,0,1.0,1,1,53.0,1.0,0
1,246.0,42.0,1,6,3,5.0,0,0,1.0,0,1,57.0,1.0,0
1,250.0,52.0,1,8,3,6.0,1,0,1.0,0,1,53.0,1.0,0
1,38.0,146.0,1,10,3,21.0,0,0,1.0,0,1,24.0,101.0,0
1,176.0,46.0,1,4,6,93.0,1,1,4.0,1,1,1.0,1.0,1
1,70.0,5.0,0,8,3,4.0,0,0,1.0,0,1,69.0,44.0,0
1,181.0,74.0,0,12,6,48.0,1,1,2.0,1,1,63.0,235.0,1
0,155.0,175.0,1,12,3,47.0,1,1,2.0,0,1,77.0,20.0,1
1,77.0,66.0,1,12,3,28.0,1,1,12.0,1,1,18.0,186.0,1
1,118.0,26.0,1,12,6,78.0,1,1,4.0,1,1,106.0,66.0,1
0,47.0,160.0,0,5,6,1.0,0,0,1.0,1,1,51.0,28.0,0
1,305.0,43.0,0,12,6,114.0,1,0,1.0,1,1,69.0,50.0,0
1,77.0,169.0,1,13,6,50.0,1,1,12.0,1,1,100.0,92.0,1
1,259.0,40.0,1,11,3,123.0,0,1,2.0,1,1,115.0,54.0,0
1,348.0,204.0,0,0,0,2.0,0,1,3.0,0,1,1.0,102.0,0
