V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,cls
5,3,4.6,1,4,8,11,2,0,4,21,1,1
1,3,0.0,0,4,8,1,3,9,0,21,1,0
11,2,0.0,0,1,8,5,3,16,0,0,11,0
0,1,4.6,0,3,8,5,3,19,4,9,11,1
7,3,4.5,1,4,8,2,3,3,4,4,3,0
6,3,0.0,1,4,16,11,2,0,0,0,11,0
1,1,0.0,3,4,8,5,0,4,0,0,12,0
3,1,0.0,4,1,8,8,3,16,3,13,0,0
2,1,0.0,4,3,16,8,2,4,3,3,12,1
6,3,0.0,4,4,16,11,3,14,4,0,0,1
9,1,5.0,4,4,8,5,3,16,3,13,12,0
2,1,0.0,4,3,16,8,0,14,0,0,1,0
10,3,4.7,1,5,8,13,0,0,4,13,11,1
11,1,4.8,1,4,8,8,2,4,8,0,1,1
1,3,5.0,1,4,4,8,0,4,0,22,12,0
1,3,0.0,4,5,4,5,0,15,13,13,0,0
7,1,4.7,0,6,8,8,0,4,0,22,12,1
6,4,5.0,4,1,8,5,3,0,0,12,9,1
0,1,0.0,1,5,10,13,3,4,0,0,9,0
5,1,5.0,1,1,8,11,2,10,0,0,0,1
5,1,4.5,0,1,8,5,0,4,0,3,12,0
1,3,4.3,1,4,8,11,3,0,4,0,12,0
0,3,4.0,3,4,16,8,3,4,0,18,12,0
5,1,4.7,2,4,16,11,2,4,0,23,12,1
5,1,0.0,4,1,16,11,3,16,0,13,9,0
5,1,0.0,1,1,8,11,2,4,3,0,11,0
5,1,4.7,1,3,8,11,3,0,0,0,12,1
1,3,0.0,0,4,8,11,3,4,8,0,11,0
7,3,4.3,4,1,8,11,3,16,4,22,14,0
7,3,4.7,1,3,11,8,2,3,4,4,3,1
1,1,4.6,0,1,8,11,2,16,4,21,12,0
1,3,0.0,1,3,8,11,3,19,4,2,12,1
1,1,4.4,0,1,8,11,3,7,4,21,1,0
0,1,4.3,0,3,8,11,2,0,0,4,12,1
9,2,4.7,1,3,8,13,0,0,0,0,11,0
1,3,4.6,4,5,4,5,3,4,0,0,9,1
11,1,4.6,4,5,8,5,3,0,4,0,11,1
0,1,0.0,1,1,8,8,3,4,0,0,11,0
9,1,4.6,1,5,8,11,3,4,0,13,12,1
1,1,4.5,1,3,16,8,2,4,0,5,12,1
0,1,5.0,4,3,16,11,3,4,3,13,12,1
0,3,4.4,0,1,8,7,3,17,4,22,12,0
1,1,4.8,1,5,8,8,3,8,3,2,9,0
1,3,4.8,4,3,8,11,3,4,0,0,11,0
11,1,4.8,1,5,8,11,3,4,0,0,9,1
5,1,0.0,1,5,8,8,3,0,0,13,12,0
5,1,4.8,0,3,16,13,2,16,0,13,5,0
1,1,0.0,1,4,8,7,3,4,4,21,3,1
1,3,4.7,1,4,8,11,2,10,0,0,12,0
1,4,0.0,0,5,4,5,2,0,0,0,12,1
5,3,5.0,4,4,16,11,2,0,4,0,1,1
1,3,4.3,4,4,8,11,0,10,0,0,1,0
1,1,0.0,0,3,8,7,3,16,4,12,12,1
1,1,4.6,4,1,8,11,3,16,4,22,12,1
10,1,4.5,1,3,8,13,3,16,0,13,5,0
3,1,0.0,2,5,15,5,3,4,0,0,9,0
1,1,4.9,2,5,15,5,3,4,0,0,12,1
10,3,4.6,0,1,8,11,3,0,0,13,12,1
6,3,4.5,1,4,16,11,3,16,0,0,11,1
12,1,0.0,1,1,12,11,3,16,0,4,9,0
7,2,0.0,1,3,16,5,3,17,0,0,12,1
1,1,0.0,4,3,8,8,3,4,0,12,10,0
1,1,5.0,1,4,8,8,2,16,4,0,1,0
1,1,4.7,1,6,8,11,3,0,4,22,12,0
5,3,4.0,2,1,8,11,2,4,0,0,12,1
1,1,5.0,1,1,16,8,3,4,3,3,12,0
1,3,0.0,4,4,16,7,3,19,3,2,12,0
1,4,4.5,2,5,8,5,3,16,0,0,9,1
12,1,4.8,0,4,16,8,3,16,0,12,12,0
1,4,0.0,1,1,16,8,2,16,0,0,12,0
6,1,5.0,4,4,16,11,3,4,2,0,11,1
10,3,0.0,1,3,16,8,3,16,15,21,12,1
5,1,4.2,1,5,16,11,3,4,6,0,12,0
1,3,4.8,4,3,8,5,3,4,22,13,12,0
